rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A035720,KR7035720002,카카오,50500,FALL,400,0.0078585462,,False
2,0,A005930,KR7005930003,삼성전자,70400,FALL,1200,0.0167597765,,False
3,5,A001570,KR7001570001,금양,80100,RISE,6500,0.0883152174,,False
4,-1,A086520,KR7086520004,에코프로,954000,RISE,13000,0.0138150903,,False
5,5,A010145,KR7010141000,삼성중공우,56500,RISE,30400,1.1647509579,,False
6,0,A001470,KR7001470004,삼부토건,3760,RISE,230,0.0651558074,,True
7,-3,A305720,KR7305720005,KODEX 2차전지산업,28920,RISE,80,0.0027739251,,False
8,0,A034020,KR7034020008,두산에너빌리티,17290,FALL,110,0.0063218391,,True
9,-4,A091160,KR7091160002,KODEX 반도체,31385,FALL,225,0.0071180006,,False
10,0,A232830,KR7232830000,시큐센,6140,RISE,830,0.1563088512,,True
