ID,Comment
  화난,영상미 미쳤다 영화의 한 부분 같네 ㄷㄷ번역가님의 자막도 한 수인듯
  임한결,데뷔할 때만 해도 20대였던 크리스와 멤버들..어느덧 벌써 40이 넘어가셨네..진짜 가장 멋진 청춘을 보낸 듯..
  Ryan Chang,단지 방구석에서 좁아터진 24인치모니터로 봐도 가슴이 터질지경인데 직관하신 분들은 창공을 날았겠군요. 개인적으로 정말 좋아라하는 뮤비중에 하나가 됐네요. 번역자님께 감사합니다.
  운동하는 작은 친구,"""성공한 사람에게는 추억을""""성공할려는 자에게는 용기를""(뇌절 멈춰!!!)"
  번역좌,10년 넘게 들어도 질리지 않는 명곡...
  basim joe,우한바이러스 종식 선언날 전세계 라이브 했으면 좋겠다 진짜....인류의승리 엔딩 크레딧송
  truwiz La,나중에 꼭 콜드플레이의 영화가 나왔으면 좋겠다.마지막 장면을 viva la vida를 이런식으로 연출하는거지..캬...생각만해도...그때까지 꼭 살아야겠다 ㄹㅇ
  공리나,내한왔을때 광클해서 펜스 둘째줄 쯤에서 봤는데.. 인생운 다쓴듯. 코로나 시국이 올줄 상상도 못했던 시절... 언젠가 한국에서 또 viva la vida 떼창할수 있길
  냥아치절전,와 진짜 영화 한장면 넣어놓은거 같음..전율이 미쳤음...와...소름돋는다
  BS BS,시험 공부 안했는데 만점 받을수 있을것만같은 자신감을 주는 노래.
  동녘동녘,정말 대단한게 북소리 정도는 mr로 깔아둘만 한데 끝까지 라이브 고집해서 이정도로 웅장하게 들리는 듯하다
  이승민,"I used to rule the world Seas would rise when I gave the word Now in the morning, I sleep alone Sweep the streets I used to own I used to roll the dice Feel the fear in my enemy's eyes Listen as the crowd would sing Now the old king is dead! Long live the king! One minute I held the key Next the walls were closed on me And I discovered that my castles stand Upon pillars of salt and pillars of sand I hear Jerusalem bells are ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain Once you go there was never, never a honest word And that was when I ruled the world It was a wicked and wild wind Blew down the doors to let me in Shattered windows and the sound of drums People couldn't believe what I'd become Revolutionaries wait For my head on a silver plate Just a puppet on a lonely string Oh, who would ever want to be king? I hear Jerusalem bells are ringing Roman Calvary choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won't call my name Never an honest word But that was when I ruled the world Oh, oh, oh, oh, oh I hear Jerusalem bells are ringing Roman Calvary choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won't call my name Never an honest word But that was when I ruled the world"
