"행정구역","2023년06월_계_총인구수","2023년06월_계_연령구간인구수","2023년06월_계_0~9세","2023년06월_계_10~19세","2023년06월_계_20~29세","2023년06월_계_30~39세","2023년06월_계_40~49세","2023년06월_계_50~59세","2023년06월_계_60~69세","2023년06월_계_70~79세","2023년06월_계_80~89세","2023년06월_계_90~99세","2023년06월_계_100세 이상"
"서울특별시  (1100000000)","9,414,093","9,414,093","528,601","742,606","1,376,043","1,426,858","1,433,451","1,490,305","1,312,500","725,930","332,435","43,869","1,495"
"서울특별시 종로구 (1111000000)","140,397","140,397","6,110","10,009","21,836","19,367","19,459","24,025","20,556","11,446","6,619","934","36"
"서울특별시 종로구 청운효자동(1111051500)","11,511","11,511","619","1,119","1,412","1,556","1,949","1,902","1,402","914","556","79","3"
"서울특별시 종로구 사직동(1111053000)","9,089","9,089","489","664","1,076","1,428","1,403","1,500","1,239","696","502","88","4"
"서울특별시 종로구 삼청동(1111054000)","2,277","2,277","85","165","250","291","318","354","393","242","150","27","2"
"서울특별시 종로구 부암동(1111055000)","9,112","9,112","393","843","1,126","1,160","1,378","1,651","1,329","740","417","71","4"
"서울특별시 종로구 평창동(1111056000)","17,476","17,476","1,037","1,525","2,103","2,080","2,506","3,159","2,748","1,360","815","133","10"
"서울특별시 종로구 무악동(1111057000)","7,984","7,984","560","941","826","846","1,294","1,418","1,089","590","371","45","4"
"서울특별시 종로구 교남동(1111058000)","9,749","9,749","741","806","1,113","1,455","1,689","1,656","1,178","693","374","44","0"
"서울특별시 종로구 가회동(1111060000)","3,910","3,910","158","310","424","514","638","682","567","376","209","32","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,700","6,700","156","204","960","955","851","1,117","1,330","707","372","46","2"
"서울특별시 종로구 종로5.6가동(1111063000)","5,437","5,437","151","214","1,213","878","565","884","784","478","239","31","0"
"서울특별시 종로구 이화동(1111064000)","7,006","7,006","190","329","1,528","1,227","831","1,008","928","584","336","45","0"
"서울특별시 종로구 혜화동(1111065000)","16,058","16,058","536","1,264","4,364","1,993","1,979","2,313","1,690","1,081","728","104","6"
"서울특별시 종로구 창신제1동(1111067000)","4,591","4,591","110","184","555","607","495","881","1,007","475","253","24","0"
"서울특별시 종로구 창신제2동(1111068000)","7,578","7,578","165","348","999","884","832","1,694","1,449","774","388","45","0"
"서울특별시 종로구 창신제3동(1111069000)","6,414","6,414","315","435","841","915","819","1,175","1,083","500","286","45","0"
"서울특별시 종로구 숭인제1동(1111070000)","5,750","5,750","204","342","702","805","820","1,078","968","513","278","39","1"
"서울특별시 종로구 숭인제2동(1111071000)","9,755","9,755","201","316","2,344","1,773","1,092","1,553","1,372","723","345","36","0"
"서울특별시 중구 (1114000000)","121,441","121,441","5,837","6,273","17,674","20,467","16,877","19,270","18,269","10,414","5,481","851","28"
"서울특별시 중구 소공동(1114052000)","2,207","2,207","153","131","238","478","500","317","233","103","46","8","0"
"서울특별시 중구 회현동(1114054000)","4,468","4,468","176","207","440","526","564","782","965","514","245","47","2"
"서울특별시 중구 명동(1114055000)","2,691","2,691","65","133","327","371","374","454","494","281","163","29","0"
"서울특별시 중구 필동(1114057000)","3,977","3,977","150","197","741","673","463","575","610","317","206","44","1"
"서울특별시 중구 장충동(1114058000)","4,600","4,600","135","292","1,266","659","514","598","538","354","212","32","0"
"서울특별시 중구 광희동(1114059000)","5,681","5,681","116","195","1,209","1,154","672","751","837","502","215","30","0"
"서울특별시 중구 을지로동(1114060500)","2,650","2,650","125","64","353","697","375","345","384","209","89","9","0"
